"","MEcyan","MElightyellow","MEturquoise","MEsalmon","MEred","MEblack","MEmidnightblue","MEmagenta","MEblue","MEgreenyellow","MElightcyan","MEgreen","MEpink","MElightgreen","MEpurple","MEyellow","MEtan","MEbrown","MEgrey60","MEgrey"
"SGA_OffspringRelated",-0.0215675823846738,-0.0574226111703033,0.0127169857082795,-0.0091364002334665,-0.017415806194917,0.057984817093809,0.0732135269574568,-0.057149407160327,-0.00046620956091143,-0.0361623957220238,-0.0209488435813809,0.00685344012294701,-0.017981487695554,-0.0604588471053593,-0.0357410486673821,-0.0243905377368905,0.0313112756399974,-0.0108553007913125,0.0259319705071583,-0.029040818989082
"macrosomia_OffspringRelated",0.00908902590974811,-0.0289366514987309,-0.0185193583833647,0.0246584926310941,0.0119904159601848,-0.0543754511002709,-0.0436586966894513,-0.0142103256976321,-0.0433194152654217,-0.0810781271555231,-0.0854316575057632,-0.0230867374484727,0.0315595728101349,0.0568303458541634,0.086845376220435,0.0671311237518908,-0.0304419004842787,0.0166970366984871,0.0404113185498728,0.0191506336967302
"LBW_OffspringRelated",-0.0269900998147772,-0.00731020985307902,0.0150519087247108,-0.0410725491016442,-0.019723731600934,-0.00955545088252052,0.00821409501517455,-0.029055865256428,0.0119067075218457,-0.0416513388432913,-0.0221683687239723,-0.00576064404133429,-0.0326585789750844,0.0085709306818951,0.0278110511091088,0.0272507048211558,-0.0364543763762975,-0.0185324851657698,0.0130307785729297,0.0197037427130524
"Preterm_OffspringRelated",-0.0762090109394045,-0.0470454700340103,-0.0534178832676362,-0.0724193390982643,-0.00907938477740995,-0.0121004422020557,-0.017598446143453,-0.00458633319811446,-0.0190650680093539,-0.0279386497530288,-0.0133980286330214,0.0177851501796359,-0.0343486928279884,0.0702360606378997,0.0243298015550219,0.0618172251317228,-0.0192018937816963,0.0216805550866954,-0.0107321043428858,0.0368085472873402
"birth_BMI_OffspringRelated",0.0365409232028442,-0.00619536910189702,-0.0123906397973599,0.0498872318419678,0.010539069553198,-0.0935328337044319,-0.071914294609454,0.0230840360868731,-0.0566478317128629,-0.0735576421412435,-0.0913826874297128,0.00822284729256966,0.0521843938746759,0.0997638321717336,0.110179983570409,0.0433791286272198,-0.0483978780477908,-0.0133301348151205,-0.0226037756105172,0.000980277766117848
"delivery_mode_kid_OffspringRelated",0.0476573104024138,0.0377374656728543,0.0195797559622162,0.0232608553275755,0.00742529784480593,-0.00833165261697036,0.00157989489038688,0.0584548632640345,0.0307597201531235,0.0083411559804652,0.025723736452142,-0.029855396734412,-0.0113078974622831,0.0351586941169711,-0.00562646233105306,0.0042110822094413,-0.0585572557459424,0.000368092271877997,-0.0295426398767314,0.0334136906488579
"edu_mo",-0.0163927957309069,0.0470441322347363,0.0313519718713229,0.0188384125573713,-0.0349118714744235,0.0212490067635892,-0.0118460583478191,-0.0534103966167973,-0.0213661068356531,0.0217806301853182,-0.00400302247656945,0.00664607262739115,-0.0166672048426463,0.0295324863047397,0.0109454071860513,0.00400772566394104,0.104519529220614,-0.0333027228495044,0.0107983378803698,-0.00886228583213815
"family_income",-0.0319328530122742,-0.00205489467138107,-0.0163637145834773,0.0124213275283294,0.042554818851285,0.0134113295391932,0.0226781688555575,0.0140444934724499,-0.0253851901247619,0.023648389458757,-0.0380062635899676,0.0308854374689505,0.00886803195543685,-0.0268513101731007,0.00730853573890198,-0.0107705386731551,0.0614070801412902,-0.00711792429031896,0.00142536866781616,-0.0364108159738281
"smoking_mo",0.0196771772137854,0.0397706364800393,0.0289844612299253,0.0145166444310157,0.0407547147421245,-0.00899306578561622,-0.00645680023443916,-0.0211587726454885,0.0234643129448619,0.010281793637421,0.022511358552661,0.028502452716856,-0.00534563742096132,-0.0135571143329467,-0.0031066395624941,0.0154164658971901,-0.0615922226850687,-0.0410045227977091,-0.00252465795224303,0.0200779483477844
"drinking_mo_18topreg",0.014440454175823,0.0208671034177021,0.0242976823040162,0.0242429411780836,0.0595353157400294,0.0443879103691502,-0.0029844726662946,0.0086444064185647,-0.0171321959145321,0.0198758084079652,-0.000512909107170562,-0.0231098729531512,-0.0182082152009078,0.0105295140710154,-0.064327789898747,-0.0325494177234393,-0.0293441801737169,-0.00110205054069082,0.00476725724332627,0.00614969323421825
"ethnicity_mo",-0.0461222947611448,-0.035135459805285,-0.0521081111625292,-0.0348541067354029,-0.00279271551834449,0.0132230191668122,-0.0148037881270285,0.0158328021391423,-0.0234381007775848,-0.0379119824730656,-0.0243691351490417,0.0527854571482041,0.00680975713970556,0.0376010471379534,-0.00626443887620386,0.0298335376398296,0.03620286816148,-0.00866633306967958,0.00178676091921108,-0.00899852681363718
"s_time_1st",0.0152388528463897,0.0182174967013716,-0.00125185914682535,0.0251301236638302,0.0186923445686027,-0.0394017306511088,-0.0175346691112352,0.0175555912951701,0.0151876338694564,-0.0295472836987749,-0.0336295099209848,0.0362970583906341,0.0112740269566212,0.0263900399473104,0.0326601709230493,-0.0113676222741975,0.00287257577267634,-0.0489868376108681,-0.0406811857771167,-0.0110020731185291
"s_time_2nd",0.00639054245857744,-0.0677635263493373,-0.0495745927304951,0.0235903659267766,0.0504003141734799,0.00271115951722558,0.0151378951014524,0.0626439710553576,0.0445067527312135,-0.0467034730419534,-0.0490678750359688,-0.00669526282629315,0.0506393360982216,-0.00969928421174602,0.00671085532545236,-0.0192426350521273,0.0377733024818817,-0.00423014319761589,0.0276926570623249,0.00840809045963332
"s_time_3rd",0.0696226419217963,0.0255017795654933,0.0280768113734612,0.0980375118059483,-0.0524353461662205,0.069825163987839,0.0320642292411886,0.0332941578530319,0.0277592520649936,0.0975804121909858,0.0639155294801294,-0.136849179751502,0.0252601985319536,-0.0379102331898206,-0.0986757520859936,-0.078170518955342,-0.00656364552130389,0.02706312235124,-0.0540555805825315,-0.0150665226018761
"FPG_1st_trimester",-0.0274365102952017,-0.0564977584414336,-0.0413691603083257,0.0193885485267918,0.0707533444343673,0.0286143061152153,0.0359707313557181,0.0402744389443069,0.0358973966645112,0.00732138975101367,0.00321499224111035,-0.0365156070171512,-0.0331542628618832,-0.0290561595656368,-0.0226910085679836,0.0224089233671464,-0.0625394852102032,0.0860556686279715,-0.00717536434496852,0.0443209211222946
"FT4",0.0161702583957471,0.0261321420530766,0.0430501181422807,-0.0177763103309165,0.00895480380811677,0.0123389456217902,0.0079487105189881,0.0157706195899407,-0.0111230102455594,0.00979250112764717,0.0303496564720119,-0.0275687343377786,-0.0253811669584189,-0.0150454498261837,-0.0205060548796835,-0.0149578576592547,0.0222949765158041,-0.000851411938222343,0.00124399230472126,-0.00555466069851385
"globulin_cal",-0.000690110282341578,-0.0190105837563678,0.0272634136262056,0.0151631324785344,0.0248355594835255,-0.0418329648827257,-0.0188836052534009,0.0441569266407887,0.0554320309059685,-0.00135464799179638,0.0247939257441467,-0.0626992274682752,-0.02749105180715,0.0617161738622381,0.0354004395246729,0.0287753532326,-0.04786327494726,0.0552709344173884,0.00314783632607365,0.0671555685847233
